sales_id,name,year,selling_price,km_driven,region,state_or_province,city,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,sold,gdp_growth,gscpi
25,Tata,2018,500000,35000,East,New York,New York City,Petrol,Individual,Manual,First_Owner,20.3,1199,83.81,114Nm@ 3500rpm,5,Y,0.0210273025,0.43406180805167976
26,Maruti,2016,575000,45000,West,California,Los Angeles,Petrol,Individual,Manual,First_Owner,21.4,1197,83.1,115Nm@ 4000rpm,5,Y,0.0215839,-0.36137639782381054
27,Maruti,2017,275000,28000,West,Washington,Seattle,Petrol,Individual,Manual,First_Owner,24.7,796,47.3,69Nm@ 3500rpm,5,Y,0.029501875,0.3030896510933923
28,Chevrolet,2013,300000,70000,East,Massachusetts,Boston,Diesel,Individual,Manual,First_Owner,18.2,1248,73.8,172.5Nm@ 1750rpm,7,Y,0.029642225,-0.4956352992239145
29,Maruti,2009,220000,120000,South,Georgia,Atlanta,Petrol,Individual,Manual,First_Owner,18.9,1061,67.0,84Nm@ 3500rpm,5,Y,0.0010549199999999991,-0.3359574993131331
30,Maruti,2018,254999,25000,East,New York,New York City,Petrol,Individual,Manual,First_Owner,16.8,796,34.2,59Nm@ 2500rpm,8,Y,0.0210273025,0.43406180805167976
31,Maruti,2017,670000,70000,Central,Illinois,Chicago,Diesel,Individual,Manual,First_Owner,24.3,1248,88.5,200Nm@ 1750rpm,5,Y,0.029501875,0.3030896510933923
33,Maruti,2012,150000,35000,Central,Illinois,Chicago,Petrol,Individual,Manual,Second_Owner,14.0,796,35.0,6.1kgm@ 3000rpm,5,Y,0.015401085000000002,-0.25819716106988044
34,Hyundai,2018,730000,2388,West,Washington,Seattle,Petrol,Individual,Manual,First_Owner,18.6,1197,81.83,114.7Nm@ 4000rpm,5,Y,0.0210273025,0.43406180805167976
35,Maruti,2017,650000,16200,West,Washington,Seattle,Diesel,Individual,Manual,First_Owner,24.3,1248,88.5,200Nm@ 1750rpm,5,Y,0.029501875,0.3030896510933923
36,Maruti,2019,330000,10000,West,Washington,Seattle,CNG,Individual,Manual,Second_Owner,33.44,796,40.3,60Nm@ 3500rpm,4,Y,0.0329647,-0.03745051713280278
37,Maruti,2019,366000,15000,West,Washington,Seattle,Petrol,Individual,Manual,First_Owner,23.95,998,67.1,90Nm@ 3500rpm,5,Y,0.0329647,-0.03745051713280278
38,Hyundai,2019,1149000,5000,East,District of Columbia,Washington,Petrol,Individual,Manual,First_Owner,17.0,1591,121.3,151Nm@ 4850rpm,5,Y,0.0329647,-0.03745051713280278
39,Datsun,2016,150000,42000,West,California,Los Angeles,Petrol,Individual,Manual,First_Owner,20.63,1198,67.0,104Nm@ 4000rpm,5,Y,0.0215839,-0.36137639782381054
40,Tata,2011,425000,60000,South,North Carolina,Charlotte,Diesel,Individual,Manual,Second_Owner,13.93,2179,138.03,320Nm@ 1700-2700rpm,7,Y,0.015311776249999999,0.33246787608046274
41,Maruti,2012,150000,76000,West,California,Los Angeles,Petrol,Individual,Manual,First_Owner,16.1,796,37.0,59Nm@ 2500rpm,4,Y,0.015401085000000002,-0.25819716106988044
42,Jeep,2019,2100000,5000,East,New York,New York City,Petrol,Individual,Automatic,First_Owner,16.0,1368,160.77,250Nm@ 1750-2500rpm,5,Y,0.0329647,-0.03745051713280278
43,Honda,2018,925000,28900,East,New York,New York City,Petrol,Dealer,Manual,First_Owner,17.8,1497,117.3,145Nm@ 4600rpm,5,Y,0.0210273025,0.43406180805167976
44,Honda,2013,425000,86300,East,New York,New York City,Petrol,Dealer,Manual,First_Owner,16.8,1497,116.3,146Nm@ 4800rpm,5,Y,0.029642225,-0.4956352992239145
45,Maruti,2018,675000,23300,East,New York,New York City,Petrol,Dealer,Automatic,First_Owner,18.5,1197,83.14,115Nm@ 4000rpm,5,Y,0.0210273025,0.43406180805167976
46,Maruti,2018,819999,32600,Central,Illinois,Chicago,Diesel,Dealer,Manual,First_Owner,24.3,1248,88.5,200Nm@ 1750rpm,5,Y,0.0210273025,0.43406180805167976
47,Maruti,2018,390000,10300,East,New York,New York City,Petrol,Dealer,Manual,First_Owner,23.95,998,67.05,90Nm@ 3500rpm,5,Y,0.0210273025,0.43406180805167976
48,Toyota,2014,1500000,77000,West,Washington,Seattle,Diesel,Dealer,Manual,First_Owner,12.55,2982,168.5,343Nm@ 1400-3400rpm,7,Y,0.026504925000000002,-0.6713802335432447
49,Toyota,2013,700000,99000,East,New York,New York City,Diesel,Dealer,Manual,First_Owner,12.99,2494,100.0,200Nm@ 1400-3400rpm,7,Y,0.029642225,-0.4956352992239145
50,Mercedes,2014,1450000,27800,East,New York,New York City,Diesel,Dealer,Automatic,Second_Owner,14.8,2143,120.7,200Nm@ 1250-4000rpm,5,Y,0.026504925000000002,-0.6713802335432447
51,Honda,2015,425000,49800,East,New York,New York City,Diesel,Dealer,Manual,First_Owner,24.7,1498,98.63,200Nm@ 1750rpm,5,Y,0.0209784025,-0.4860680299374063
52,Mitsubishi,2013,1090000,151000,West,Washington,Seattle,Diesel,Dealer,Manual,First_Owner,13.5,2477,175.56,400Nm@ 2000-2500rpm,7,Y,0.029642225,-0.4956352992239145
53,Honda,2015,600000,54700,West,California,Los Angeles,Diesel,Dealer,Manual,First_Owner,26.0,1498,98.6,200Nm@ 1750rpm,5,Y,0.0209784025,-0.4860680299374063
54,Maruti,2018,850000,64000,East,New York,New York City,Petrol,Dealer,Manual,First_Owner,20.65,1462,103.25,138Nm@ 4400rpm,5,Y,0.0210273025,0.43406180805167976
55,Honda,2015,525000,63000,South,Georgia,Atlanta,Diesel,Dealer,Manual,First_Owner,27.3,1498,98.6,200Nm@ 1750rpm,5,Y,0.0209784025,-0.4860680299374063
56,Toyota,2016,1650000,127700,East,Massachusetts,Boston,Diesel,Dealer,Automatic,Second_Owner,11.36,2755,171.5,360Nm@ 1200-3400rpm,7,Y,0.0215839,-0.36137639782381054
57,Toyota,2016,950000,99000,South,Georgia,Atlanta,Diesel,Dealer,Manual,First_Owner,12.99,2494,100.6,200Nm@ 1200-3600rpm,7,Y,0.0215839,-0.36137639782381054
58,Audi,2013,1750000,33900,South,Georgia,Atlanta,Diesel,Dealer,Automatic,Second_Owner,17.68,1968,174.33,380Nm@ 1750-2500rpm,5,Y,0.029642225,-0.4956352992239145
59,Toyota,2018,1590000,25000,South,Florida,Miami,Petrol,Dealer,Automatic,First_Owner,14.28,1798,138.03,173Nm@ 4000rpm,5,Y,0.0210273025,0.43406180805167976
60,Audi,2013,1689999,50000,East,Massachusetts,Boston,Diesel,Dealer,Automatic,First_Owner,18.53,1968,187.74,400Nm@ 1750-3000rpm,5,Y,0.029642225,-0.4956352992239145
61,Mercedes,2013,1425000,59000,East,Massachusetts,Boston,Diesel,Dealer,Automatic,First_Owner,14.84,2143,170.0,400Nm@ 1400-2800rpm,5,Y,0.029642225,-0.4956352992239145
62,Tata,2011,265000,120000,East,Pennsylvania,Philadelphia,Diesel,Individual,Manual,First_Owner,21.12,1248,88.8,200Nm@ 1750-3000rpm,5,Y,0.015311776249999999,0.33246787608046274
63,Hyundai,2011,190000,110000,West,California,San Diego,Petrol,Individual,Manual,Third_Owner,20.36,1197,78.9,111.7Nm@ 4000rpm,5,Y,0.015311776249999999,0.33246787608046274
64,Hyundai,2013,425000,60000,West,California,San Francisco,Diesel,Individual,Manual,First_Owner,21.27,1396,88.76,219.6Nm@ 1500-2750rpm,5,Y,0.029642225,-0.4956352992239145
65,Maruti,2015,630000,147000,West,California,San Francisco,Diesel,Individual,Manual,Second_Owner,26.59,1248,74.0,190Nm@ 2000rpm,5,Y,0.0209784025,-0.4860680299374063
66,Ford,2017,600000,25000,East,District of Columbia,Washington,Petrol,Individual,Manual,Third_Owner,18.16,1196,86.8,112Nm@ 4000rpm,5,Y,0.029501875,0.3030896510933923
67,Maruti,2019,650000,30000,East,New York,New York City,Petrol,Individual,Manual,First_Owner,21.4,1197,83.1,115Nm@ 4000rpm,5,Y,0.0329647,-0.03745051713280278
68,Volkswagen,2016,540000,40000,East,District of Columbia,Washington,Diesel,Individual,Manual,First_Owner,22.0,1498,108.495,250Nm@ 1500-3000rpm,5,Y,0.0215839,-0.36137639782381054
69,Honda,2015,630000,135000,East,District of Columbia,Washington,Diesel,Individual,Manual,First_Owner,25.1,1498,98.6,200Nm@ 1750rpm,5,Y,0.0209784025,-0.4860680299374063
70,Maruti,2018,448000,30000,East,District of Columbia,Washington,Petrol,Individual,Automatic,First_Owner,20.51,998,67.0,90Nm@ 3500rpm,5,Y,0.0210273025,0.43406180805167976
71,Volkswagen,2017,500000,80000,Central,Illinois,Chicago,Diesel,Individual,Manual,First_Owner,21.66,1498,108.62,250Nm@ 1500-3000rpm,5,Y,0.029501875,0.3030896510933923
72,Maruti,2016,745000,70000,East,Massachusetts,Boston,Diesel,Individual,Manual,First_Owner,24.3,1248,88.5,200Nm@ 1750rpm,5,Y,0.0215839,-0.36137639782381054
73,Maruti,2019,1025000,9850,East,Massachusetts,Boston,Diesel,Individual,Automatic,First_Owner,24.3,1248,88.5,200Nm@ 1750rpm,5,Y,0.0329647,-0.03745051713280278
74,Hyundai,2011,235000,60000,East,New York,New York City,Petrol,Individual,Manual,Second_Owner,20.36,1197,78.9,111.7Nm@ 4000rpm,5,Y,0.015311776249999999,0.33246787608046274
75,Maruti,2016,630000,70000,West,California,Los Angeles,Diesel,Individual,Manual,First_Owner,25.2,1248,74.0,190Nm@ 2000rpm,5,Y,0.0215839,-0.36137639782381054
76,Toyota,2015,1700000,78000,West,California,Los Angeles,Diesel,Individual,Manual,Second_Owner,12.55,2982,168.5,343Nm@ 1400-3400rpm,7,Y,0.0209784025,-0.4860680299374063
77,Maruti,2013,450000,120000,Central,Texas,Dallas,Diesel,Individual,Manual,Second_Owner,22.9,1248,74.0,190Nm@ 2000rpm,5,Y,0.029642225,-0.4956352992239145
78,Maruti,2012,450000,120000,South,Florida,Miami,Petrol,Individual,Manual,Second_Owner,16.02,1373,93.7,130Nm@ 4000rpm,7,Y,0.015401085000000002,-0.25819716106988044
80,Volkswagen,2013,450000,170000,South,North Carolina,Charlotte,Diesel,Individual,Manual,First_Owner,20.54,1598,103.6,250Nm@ 1500-2500rpm,5,Y,0.029642225,-0.4956352992239145
81,Toyota,2016,1200000,140000,East,New York,New York City,Diesel,Individual,Manual,First_Owner,12.99,2494,100.6,200Nm@ 1200-3600rpm,8,Y,0.0215839,-0.36137639782381054
82,Ford,2015,610000,90000,Central,Illinois,Chicago,Diesel,Individual,Manual,First_Owner,22.77,1498,98.59,205Nm@ 1750-3250rpm,5,Y,0.0209784025,-0.4860680299374063
83,BMW,2016,2500000,30000,Central,Illinois,Chicago,Petrol,Individual,Automatic,Second_Owner,15.71,1998,189.0,280Nm@ 1350-4600rpm,5,Y,0.0215839,-0.36137639782381054
84,Maruti,2017,484999,10000,South,Florida,Miami,Petrol,Dealer,Manual,First_Owner,23.1,998,67.04,90Nm@ 3500rpm,5,Y,0.029501875,0.3030896510933923
85,Datsun,2016,275000,49000,South,Florida,Miami,Petrol,Dealer,Manual,First_Owner,19.02,1198,67.05,104Nm@ 4000rpm,5,Y,0.0215839,-0.36137639782381054
86,Maruti,2016,315000,32000,South,Florida,Miami,Petrol,Dealer,Manual,First_Owner,24.7,796,47.3,69Nm@ 3500rpm,5,Y,0.0215839,-0.36137639782381054
87,Maruti,2016,275000,38000,East,New York,New York City,Petrol,Dealer,Manual,First_Owner,24.7,796,47.3,69Nm@ 3500rpm,5,Y,0.0215839,-0.36137639782381054
89,Hyundai,2012,290000,28000,South,Florida,Miami,Petrol,Dealer,Manual,First_Owner,19.81,1086,68.05,99.04Nm@ 4500rpm,5,Y,0.015401085000000002,-0.25819716106988044
90,Maruti,2017,280000,32000,Central,Michigan,Detroit,Petrol,Dealer,Manual,First_Owner,14.0,796,35.0,6.1kgm@ 3000rpm,5,Y,0.029501875,0.3030896510933923
91,Maruti,2010,225000,44000,Central,Michigan,Detroit,LPG,Dealer,Manual,First_Owner,26.2,998,58.2,77Nm@ 3500rpm,5,Y,0.027380649999999996,0.2466662547445887
92,Volkswagen,2015,455000,42000,South,North Carolina,Charlotte,Petrol,Dealer,Manual,First_Owner,16.47,1198,74.0,110Nm@ 3750rpm,5,Y,0.0209784025,-0.4860680299374063
93,Hyundai,2015,351000,45000,South,North Carolina,Charlotte,Petrol,Dealer,Manual,Second_Owner,19.81,1086,68.05,99.04Nm@ 4500rpm,5,Y,0.0209784025,-0.4860680299374063
94,Volkswagen,2012,535000,12000,East,Pennsylvania,Philadelphia,Petrol,Dealer,Manual,Second_Owner,15.04,1598,103.6,153Nm@ 3800rpm,5,Y,0.015401085000000002,-0.25819716106988044
95,Maruti,2009,175000,55500,East,Pennsylvania,Philadelphia,Petrol,Dealer,Manual,First_Owner,18.2,998,67.1,90Nm@ 3500rpm,5,Y,0.0010549199999999991,-0.3359574993131331
96,Hyundai,2013,525000,61500,East,Pennsylvania,Philadelphia,Petrol,Dealer,Manual,First_Owner,18.5,1197,82.85,113.7Nm@ 4000rpm,5,Y,0.029642225,-0.4956352992239145
97,Maruti,2016,600000,150000,East,Massachusetts,Boston,Diesel,Individual,Manual,First_Owner,26.59,1248,74.0,190Nm@ 2000rpm,5,Y,0.0215839,-0.36137639782381054
98,Hyundai,2016,565000,72000,South,Georgia,Atlanta,Petrol,Dealer,Automatic,First_Owner,19.1,1197,82.0,114Nm@ 4000rpm,5,Y,0.0215839,-0.36137639782381054
99,Maruti,2008,120000,68000,West,California,Los Angeles,Petrol,Dealer,Manual,Third_Owner,19.7,796,46.3,62Nm@ 3000rpm,5,Y,-0.025737475,-0.15531793873190386
100,Hyundai,2017,725000,110000,West,California,Los Angeles,Diesel,Individual,Manual,First_Owner,22.54,1396,88.73,219.7Nm@ 1500-2750rpm,5,Y,0.029501875,0.3030896510933923
101,Maruti,2009,185000,77000,East,District of Columbia,Washington,Petrol,Dealer,Manual,Second_Owner,21.79,998,67.05,90Nm@ 3500rpm,5,Y,0.0010549199999999991,-0.3359574993131331
102,Tata,2010,200000,100000,East,District of Columbia,Washington,Diesel,Individual,Manual,Second_Owner,18.8,1248,90.0,200Nm@ 1750-3000rpm,5,Y,0.027380649999999996,0.2466662547445887
103,Maruti,2019,615000,10000,East,District of Columbia,Washington,Petrol,Individual,Manual,First_Owner,21.21,1197,81.8,113Nm@ 4200rpm,5,Y,0.0329647,-0.03745051713280278
104,Maruti,2016,270000,100000,East,Pennsylvania,Philadelphia,Petrol,Individual,Manual,Third_Owner,15.37,1196,73.0,101Nm@ 3000rpm,7,Y,0.0215839,-0.36137639782381054
105,Maruti,2018,610000,35000,East,Pennsylvania,Philadelphia,Petrol,Individual,Manual,First_Owner,21.4,1197,83.1,115Nm@ 4000rpm,5,Y,0.0210273025,0.43406180805167976
106,Mahindra,2014,625000,70000,East,Pennsylvania,Philadelphia,Diesel,Individual,Automatic,Second_Owner,11.79,2179,120.0,290Nm@ 1800-2800rpm,8,Y,0.026504925000000002,-0.6713802335432447
107,Ford,2020,400000,5000,Central,Texas,Houston,Petrol,Individual,Manual,Second_Owner,19.0,1194,94.68,120Nm@ 4250rpm,5,Y,-0.010235625,1.6366195872768323
108,Hyundai,2017,866000,37800,East,New York,New York City,Petrol,Individual,Manual,First_Owner,17.0,1591,121.3,151Nm@ 4850rpm,5,Y,0.029501875,0.3030896510933923
109,Volkswagen,2010,700000,114000,West,California,Los Angeles,Petrol,Individual,Manual,First_Owner,14.3,1798,160.0,250Nm@ 1500~4500rpm,5,Y,0.027380649999999996,0.2466662547445887
110,Tata,2010,300000,48000,Central,Illinois,Chicago,Petrol,Individual,Manual,First_Owner,15.8,1172,65.0,96 Nm at 3000 rpm,5,Y,0.027380649999999996,0.2466662547445887
111,Mahindra,2019,1700000,32000,East,New York,New York City,Diesel,Individual,Manual,First_Owner,15.1,2179,155.0,360Nm@ 1750-2800rpm,7,Y,0.0329647,-0.03745051713280278
112,Tata,2016,375000,100000,East,New York,New York City,Diesel,Individual,Manual,First_Owner,19.09,1405,69.01,135Nm@ 2500rpm,5,Y,0.0215839,-0.36137639782381054
113,Hyundai,2013,522000,150000,East,New York,New York City,Diesel,Individual,Manual,Second_Owner,22.32,1582,126.32,259.8Nm@ 1900-2750rpm,5,Y,0.029642225,-0.4956352992239145
114,Hyundai,2013,451999,69000,East,New York,New York City,Diesel,Individual,Manual,First_Owner,21.9,1396,88.76,219.6Nm@ 1500-2750rpm,5,Y,0.029642225,-0.4956352992239145
115,Toyota,2009,300000,100000,East,New York,New York City,Petrol,Individual,Manual,Second_Owner,14.53,1798,138.1,173Nm@ 4000rpm,5,Y,0.0010549199999999991,-0.3359574993131331
116,Maruti,2020,475000,13000,East,New York,New York City,Petrol,Individual,Manual,First_Owner,21.63,998,67.04,90Nm@ 3500rpm,5,Y,-0.010235625,1.6366195872768323
117,Maruti,2016,780000,60000,West,California,Los Angeles,Diesel,Individual,Manual,First_Owner,24.3,1248,88.5,200Nm@ 1750rpm,5,Y,0.0215839,-0.36137639782381054
118,Maruti,2017,595000,40000,West,California,Los Angeles,Petrol,Individual,Manual,First_Owner,20.85,1197,83.14,115Nm@ 4000rpm,5,Y,0.029501875,0.3030896510933923
119,Maruti,2017,440000,35000,West,California,Los Angeles,Petrol,Individual,Manual,First_Owner,20.51,998,67.04,90Nm@ 3500rpm,5,Y,0.029501875,0.3030896510933923
121,Nissan,2014,400000,70000,East,District of Columbia,Washington,Diesel,Individual,Manual,Third_Owner,20.45,1461,83.8,200Nm@ 1900rpm,5,Y,0.026504925000000002,-0.6713802335432447
122,Hyundai,2016,1140000,50000,East,Pennsylvania,Philadelphia,Diesel,Individual,Manual,First_Owner,19.67,1582,126.2,259.9Nm@ 1900-2750rpm,5,Y,0.0215839,-0.36137639782381054
123,Ford,2017,850000,76139,East,New York,New York City,Diesel,Individual,Manual,First_Owner,23.0,1498,98.96,205Nm@ 1750-3250rpm,5,Y,0.029501875,0.3030896510933923
124,Maruti,2012,370000,175000,South,North Carolina,Charlotte,Diesel,Individual,Manual,Fourth_Above_Owner,19.3,1248,73.9,190Nm@ 2000rpm,5,Y,0.015401085000000002,-0.25819716106988044
125,Renault,2018,350000,25000,East,Massachusetts,Boston,Petrol,Individual,Manual,First_Owner,23.01,999,67.0,91Nm@ 4250rpm,5,Y,0.0210273025,0.43406180805167976
126,Maruti,2015,360000,40000,East,Massachusetts,Boston,Petrol,Individual,Manual,Second_Owner,23.1,998,67.04,90Nm@ 3500rpm,5,Y,0.0209784025,-0.4860680299374063
127,Maruti,2008,105000,65000,East,Massachusetts,Boston,Petrol,Individual,Manual,Fourth_Above_Owner,19.7,796,46.3,62Nm@ 3000rpm,5,Y,-0.025737475,-0.15531793873190386
128,Maruti,2013,625000,90000,West,California,San Francisco,Diesel,Individual,Manual,Second_Owner,20.77,1248,88.76,200Nm@ 1750rpm,7,Y,0.029642225,-0.4956352992239145
129,Hyundai,2009,135000,80000,West,Washington,Seattle,Petrol,Individual,Manual,Second_Owner,17.92,1086,62.1,96.1Nm@ 3000rpm,5,Y,0.0010549199999999991,-0.3359574993131331
130,Maruti,2015,700000,110000,East,District of Columbia,Washington,Diesel,Individual,Manual,Second_Owner,20.77,1248,88.76,200Nm@ 1750rpm,7,Y,0.0209784025,-0.4860680299374063
131,Honda,2019,690000,1303,East,District of Columbia,Washington,Petrol,Dealer,Manual,First_Owner,17.8,1198,86.7,109Nm@ 4500rpm,5,Y,0.0329647,-0.03745051713280278
132,Audi,2018,3975000,31800,West,Washington,Seattle,Diesel,Dealer,Automatic,First_Owner,17.01,1968,188.0,400nm@ 1750-3000rpm,5,Y,0.0210273025,0.43406180805167976
133,Lexus,2019,5150000,20000,West,Washington,Seattle,Petrol,Dealer,Automatic,First_Owner,22.37,2487,214.56,202Nm@ 3600-5200rpm,5,Y,0.0329647,-0.03745051713280278
134,Jaguar,2017,3200000,45000,East,New York,New York City,Diesel,Dealer,Automatic,First_Owner,19.33,1999,177.0,430Nm@ 1750-2500rpm,5,Y,0.029501875,0.3030896510933923
135,Jeep,2017,4100000,17000,West,California,Los Angeles,Petrol,Individual,Automatic,First_Owner,9.5,3604,280.0,347Nm@ 4300rpm,5,Y,0.029501875,0.3030896510933923
136,Land,2019,4500000,21000,West,California,Los Angeles,Diesel,Dealer,Automatic,First_Owner,12.83,1999,148.31,382nm@ 1750-2250rpm,7,Y,0.0329647,-0.03745051713280278
137,Mercedes,2017,6000000,37000,West,California,Los Angeles,Diesel,Dealer,Automatic,First_Owner,13.5,2987,254.79,620Nm@ 1600-2400rpm,5,Y,0.029501875,0.3030896510933923
138,BMW,2018,3790000,29500,West,California,Los Angeles,Diesel,Dealer,Automatic,First_Owner,22.48,1995,187.74,400Nm@ 1750-2500rpm,5,Y,0.0210273025,0.43406180805167976
140,BMW,2019,5800000,7500,East,New York,New York City,Diesel,Dealer,Automatic,First_Owner,16.78,1995,190.0,400Nm@ 1750-2500rpm,5,Y,0.0329647,-0.03745051713280278
141,Skoda,2018,1864999,50000,West,California,San Diego,Petrol,Dealer,Automatic,First_Owner,14.67,1798,177.46,250@ 1250-5000rpm,5,Y,0.0210273025,0.43406180805167976
142,Mercedes,2016,2700000,35000,West,California,San Diego,Diesel,Dealer,Automatic,First_Owner,15.0,2143,204.0,500Nm@ 1600-1800rpm,5,Y,0.0215839,-0.36137639782381054
143,MG,2019,1750000,19000,West,California,San Diego,Petrol,Dealer,Automatic,First_Owner,13.96,1451,141.0,250Nm@ 1600-3600rpm,5,Y,0.0329647,-0.03745051713280278
144,Honda,2017,795000,41000,West,Washington,Seattle,Petrol,Dealer,Automatic,First_Owner,18.0,1497,117.6,145Nm@ 4600rpm,5,Y,0.029501875,0.3030896510933923
145,Toyota,2013,625000,39000,East,District of Columbia,Washington,Petrol,Dealer,Automatic,First_Owner,14.28,1798,138.03,173Nm@ 4000rpm,5,Y,0.029642225,-0.4956352992239145
146,Volvo,2018,3400000,22000,East,District of Columbia,Washington,Diesel,Dealer,Automatic,First_Owner,18.0,1969,190.0,400Nm,5,Y,0.0210273025,0.43406180805167976
147,Audi,2015,2650000,53000,West,California,Los Angeles,Diesel,Dealer,Automatic,First_Owner,12.07,2967,241.4,550Nm@ 1750-2750rpm,7,Y,0.0209784025,-0.4860680299374063
148,Maruti,2015,535000,40000,West,California,Los Angeles,Diesel,Dealer,Manual,First_Owner,26.21,1248,88.5,200Nm@ 1750rpm,5,Y,0.0209784025,-0.4860680299374063
149,Mercedes,2017,5850000,47000,West,California,Los Angeles,Diesel,Dealer,Automatic,First_Owner,13.5,2987,282.0,490Nm@ 1600rpm,5,Y,0.029501875,0.3030896510933923
150,BMW,2010,975000,72200,East,District of Columbia,Washington,Petrol,Dealer,Automatic,Second_Owner,10.8,2497,150.0,250 Nm at 2750 rpm,5,Y,0.027380649999999996,0.2466662547445887
151,Hyundai,2016,805000,49900,East,District of Columbia,Washington,Petrol,Dealer,Manual,First_Owner,16.3,1797,147.5,177.5Nm@ 4700rpm,5,Y,0.0215839,-0.36137639782381054
152,Jaguar,2017,2625000,9000,East,New York,New York City,Diesel,Dealer,Automatic,First_Owner,13.6,1999,177.0,430Nm@ 1750-2500rpm,5,Y,0.029501875,0.3030896510933923
